1.953,-0.05,1.77,2.83
1.956,0.18,1.98,3.32
1.961,0.44,2.22,3.76
1.97,0.63,2.46,4.01
1.971,0.81,2.64,4.01
1.976,1.06,2.76,4.01
1.981,1.36,2.79,4.01
1.989,1.66,2.74,4.01
1.991,1.96,2.57,4.01
1.996,2.2,2.28,4.01
2.007,2.28,1.98,4.01
2.009,2.3,1.71,4.01
2.011,2.29,1.49,4.01
2.023,2.32,1.24,3.56
2.026,2.35,1.13,3.33
2.027,2.35,0.96,3.14
2.042,2.29,0.73,2.98
2.043,2.17,0.46,2.81
2.045,2.01,0.19,2.64
2.046,1.83,-0.07,2.42
2.06,1.66,-0.29,2.18
2.062,1.54,-0.46,1.92
2.063,1.44,-0.59,1.67
2.078,1.34,-0.7,1.46
2.08,1.25,-0.79,1.25
2.081,1.15,-0.85,1.05
2.084,1.05,-0.89,0.83
2.09,0.97,-0.93,0.61
2.092,0.92,-0.95,0.39
2.097,0.86,-0.95,0.21
2.103,0.82,-0.96,0.07
2.107,0.79,-0.97,-0.05
2.112,0.78,-0.98,-0.16
2.12,0.76,-0.99,-0.29
2.123,0.75,-1,-0.39
2.127,0.75,-1.03,-0.5
2.133,0.73,-1.03,-0.6
2.139,0.66,-1.06,-0.72
2.142,0.59,-1.07,-0.82
2.147,0.51,-1.11,-0.91
2.154,0.43,-1.15,-0.95
2.157,0.35,-1.2,-0.93
2.162,0.28,-1.23,-0.87
2.179,0.24,-1.25,-0.79
2.18,0.23,-1.27,-0.73
2.182,0.23,-1.29,-0.7
2.183,0.23,-1.3,-0.67
2.199,0.23,-1.3,-0.65
2.2,0.25,-1.28,-0.62
2.201,0.25,-1.26,-0.61
2.203,0.24,-1.24,-0.61
2.208,0.25,-1.2,-0.64
2.212,0.25,-1.14,-0.71
2.221,0.24,-1.08,-0.8
2.223,0.26,-1,-0.88
2.228,0.28,-0.92,-0.95
2.24,0.32,-0.84,-1.02
2.241,0.38,-0.77,-1.06
2.243,0.46,-0.7,-1.09
2.248,0.56,-0.63,-1.09
2.258,0.64,-0.56,-1.07
2.26,0.73,-0.48,-1.02
2.263,0.79,-0.42,-0.96
2.269,0.81,-0.39,-0.92
2.274,0.83,-0.37,-0.83
2.278,0.82,-0.39,-0.47
2.286,0.81,-0.37,-0.17
2.288,0.8,-0.31,0.16
2.293,0.78,-0.26,0.46
2.298,0.78,-0.15,0.73
2.304,0.82,0,1.04
2.308,0.89,0.19,1.39
2.313,0.92,0.39,1.71
2.33,0.92,0.57,1.9
2.338,0.9,0.75,2
2.343,0.86,0.9,2.1
2.344,0.86,0.98,2.27
2.345,0.93,1.03,2.57
2.346,1.05,1.13,2.95
2.354,1.19,1.27,3.29
2.356,1.33,1.37,3.63
2.358,1.39,1.38,3.97
2.364,1.31,1.27,4.01
2.37,1.18,1.1,4.01
2.374,1.02,0.93,4.01
2.379,0.86,0.8,4.01
2.387,0.67,0.68,4.01
2.389,0.51,0.56,3.93
2.394,0.38,0.45,3.7
2.399,0.29,0.41,3.44
2.405,0.25,0.4,3.17
2.409,0.22,0.4,2.88
2.414,0.21,0.39,2.63
2.42,0.22,0.37,2.39
2.424,0.25,0.35,2.18
2.429,0.27,0.33,1.97
2.436,0.29,0.29,1.77
2.439,0.3,0.25,1.58
2.444,0.3,0.21,1.42
2.461,0.28,0.18,1.27
2.463,0.25,0.15,1.13
2.464,0.24,0.11,0.99
2.467,0.23,0.07,0.86
2.484,0.2,0.04,0.73
2.485,0.17,0,0.64
2.486,0.16,-0.01,0.55
2.487,0.17,-0.02,0.47
